Item_Identifier;Item_Weight;Item_Fat_Content;Item_Visibility;Item_Type;Item_MRP;Outlet_Identifier;Outlet_Establishment_Year;Outlet_Size;Outlet_Location_Type;Outlet_Type;Item_Outlet_Sales
FDA15;9,3;Low Fat;0.016047301;Dairy;2.498.092;OUT049;1999;Medium;Tier 1;Supermarket Type1;3735138
DRC01;5,9;Regular;0.019278216;Soft Drinks;482.692;OUT018;2009;Medium;Tier 3;Supermarket Type2;4434228
FDN15;17,5;Low Fat;0.016760075;Meat;141.618;OUT049;1999;Medium;Tier 1;Supermarket Type1;2097
FDX07;19,2;Regular;0;Fruits and Vegetables;182.095;OUT010;1998;;Tier 3;Grocery Store;732
NCD19;8,9;Low Fat;0;Household;538.614;OUT013;1987;High;Tier 3;Supermarket Type1;9947052
FDP36;10395,0;Regular;0;Baking Goods;514.008;OUT018;2009;Medium;Tier 3;Supermarket Type2;5566088
FDO10;13,7;Regular;0.012741089;Snack Foods;576.588;OUT013;1987;High;Tier 3;Supermarket Type1;3435528
FDP10;;Low Fat;0.127469857;Snack Foods;1.077.622;OUT027;1985;Medium;Tier 3;Supermarket Type3;40227636
FDH17;16,2;Regular;0.016687114;Frozen Foods;969.726;OUT045;2002;;Tier 2;Supermarket Type1;10765986
FDU28;19,2;Regular;0.09444959;Frozen Foods;1.878.214;OUT017;2007;;Tier 2;Supermarket Type1;4710535
FDY07;11,8;Low Fat;0;Fruits and Vegetables;455.402;OUT049;1999;Medium;Tier 1;Supermarket Type1;15160266
FDA03;18,5;Regular;0.045463773;Dairy;1.441.102;OUT046;1997;Small;Tier 1;Supermarket Type1;2187153
FDX32;15,1;Regular;0.1000135;Fruits and Vegetables;1.454.786;OUT049;1999;Medium;Tier 1;Supermarket Type1;15892646
FDS46;17,6;Regular;0.047257328;Snack Foods;1.196.782;OUT046;1997;Small;Tier 1;Supermarket Type1;21452076
FDF32;16,4;Low Fat;0.0680243;Fruits and Vegetables;1.964.426;OUT013;1987;High;Tier 3;Supermarket Type1;1977426
FDP49;9,0;Regular;0.069088961;Breakfast;563.614;OUT046;1997;Small;Tier 1;Supermarket Type1;15473192
NCB42;11,8;Low Fat;0.008596051;Health and Hygiene;1.153.492;OUT018;2009;Medium;Tier 3;Supermarket Type2;16218888
FDP49;9,0;Regular;0.069196376;Breakfast;543.614;OUT049;1999;Medium;Tier 1;Supermarket Type1;7183982
DRI11;;Low Fat;0.034237682;Hard Drinks;1.132.834;OUT027;1985;Medium;Tier 3;Supermarket Type3;2303668
FDU02;13,4;Low Fat;0.10249212;Dairy;2.305.352;OUT035;2004;Small;Tier 2;Supermarket Type1;27484224
FDN22;18,9;Regular;0.138190277;Snack Foods;2.508.724;OUT013;1987;High;Tier 3;Supermarket Type1;3775086
FDW12;;Regular;0.035399923;Baking Goods;1.445.444;OUT027;1985;Medium;Tier 3;Supermarket Type3;40640432
NCB30;14,6;Low Fat;0.025698134;Household;1.965.084;OUT035;2004;Small;Tier 2;Supermarket Type1;15872672
FDC37;;Low Fat;0.057556998;Baking Goods;1.076.938;OUT019;1985;Small;Tier 1;Grocery Store;2143876
FDR28;13,9;Regular;0.025896485;Frozen Foods;165.021;OUT046;1997;Small;Tier 1;Supermarket Type1;4078025
NCD06;13,0;Low Fat;0.099887103;Household;45.906;OUT017;2007;;Tier 2;Supermarket Type1;838908
FDV10;7645,0;Regular;0.066693437;Snack Foods;423.112;OUT035;2004;Small;Tier 2;Supermarket Type1;1065
DRJ59;11,7;low fat;0.019356132;Hard Drinks;391.164;OUT013;1987;High;Tier 3;Supermarket Type1;3089312
FDE51;5925,0;Regular;0.161466534;Dairy;455.086;OUT010;1998;;Tier 3;Grocery Store;1784344
FDC14;;Regular;0.072221801;Canned;436.454;OUT019;1985;Small;Tier 1;Grocery Store;1258362
FDV38;19,3;Low Fat;0.170348551;Dairy;557.956;OUT010;1998;;Tier 3;Grocery Store;1637868
NCS17;18,6;Low Fat;0.080829372;Health and Hygiene;964.436;OUT018;2009;Medium;Tier 3;Supermarket Type2;27417644
FDP33;18,7;Low Fat;0;Snack Foods;2.566.672;OUT018;2009;Medium;Tier 3;Supermarket Type2;30680064
FDO23;17,9;Low Fat;0;Breads;931.436;OUT045;2002;;Tier 2;Supermarket Type1;21745028
DRH01;17,5;Low Fat;0.097904029;Soft Drinks;1.748.738;OUT046;1997;Small;Tier 1;Supermarket Type1;20852856
NCX29;10,0;Low Fat;0.089291137;Health and Hygiene;1.467.102;OUT049;1999;Medium;Tier 1;Supermarket Type1;37910652
FDV20;;Regular;0.059511812;Fruits and Vegetables;1.280.678;OUT027;1985;Medium;Tier 3;Supermarket Type3;27976916
DRZ11;8,9;Regular;0.113123893;Soft Drinks;1.225.388;OUT018;2009;Medium;Tier 3;Supermarket Type2;16099044
FDX10;;Regular;0.123111453;Snack Foods;369.874;OUT027;1985;Medium;Tier 3;Supermarket Type3;3881614
FDB34;;Low Fat;0.026480954;Snack Foods;876.198;OUT027;1985;Medium;Tier 3;Supermarket Type3;2180495
FDU02;13,4;Low Fat;0.102511504;Dairy;2.306.352;OUT046;1997;Small;Tier 1;Supermarket Type1;3435528
FDK43;9,8;Low Fat;0.02681843;Meat;126.002;OUT013;1987;High;Tier 3;Supermarket Type1;2150534
FDA46;13,6;Low Fat;0.117818348;Snack Foods;1.929.136;OUT049;1999;Medium;Tier 1;Supermarket Type1;25273768
